Wall time,Step,Value
1720323435.5335288,117216,253.0
1720323436.6122067,117448,252.0
1720323438.753186,117936,199.0
1720323439.5052397,118104,199.0
1720323440.6900933,118368,252.0
1720324121.8996398,118528,203.0
1720324121.9403813,118536,203.0
1720324123.6559947,118928,248.0
1720324124.7667556,119184,246.0
1720324126.5082045,119568,130.0
1720324129.8836112,120344,247.0
1720324130.517949,120480,297.0
1720324130.638659,120504,246.0
1720324131.6718986,120744,351.0
1720324131.898763,120792,201.0
1720324132.4288478,120904,247.0
1720324133.1590452,121064,245.0
1720324135.363,121560,249.0
1720324806.8227744,122312,246.0
1720324807.2465,122408,202.0
1720324807.4262757,122448,246.0
1720324807.6049337,122488,198.0
1720324807.7149959,122512,251.0
1720324807.9273884,122560,125.0
1720324808.2736173,122640,197.0
1720324808.660338,122728,248.0
1720324813.7295194,123896,198.0
1720324814.1210349,123984,197.0
1720324814.337672,124032,198.0
1720324815.5267544,124304,197.0
1720324816.2935598,124480,246.0
1720324816.5070343,124528,246.0
1720325488.8797922,125000,295.0
1720325490.9293418,125512,202.0
1720325491.2622778,125592,201.0
1720325492.057213,125784,219.0
1720325493.329054,126080,200.0
1720325494.192868,126280,247.0
1720325494.8821743,126440,247.0
1720325495.3900938,126552,253.0
1720325495.5360928,126584,198.0
1720325499.7062879,127576,248.0
1720325500.5133657,127760,247.0
1720325501.04633,127888,297.0
1720325501.3797066,127968,211.0
1720326330.126672,128160,201.0
1720326330.6798203,128288,231.0
1720326331.1709483,128400,227.0
1720326332.2842171,128656,322.0
1720326333.665162,128968,151.0
1720326334.506916,129160,198.0
1720326336.2969089,129568,200.0
1720326337.184139,129768,201.0
1720326337.584803,129864,247.0
1720326338.077774,129984,198.0
1720326339.1376894,130240,198.0
1720326339.3392696,130288,250.0
1720326343.0693262,131160,250.0
1720327107.2687938,131336,296.0
1720327107.3803513,131360,199.0
1720327108.3630981,131584,200.0
1720327109.3760846,131816,197.0
1720327109.6334202,131872,198.0
1720327109.9559221,131944,297.0
1720327113.4356759,132744,198.0
1720327114.2819219,132936,197.0
1720327114.7439625,133040,197.0
1720327115.313266,133168,198.0
1720327116.4391608,133424,201.0
1720327116.9415586,133536,199.0
1720327117.7622597,133720,298.0
1720327119.278773,134072,129.0
1720327120.0720503,134256,298.0
1720327120.4573324,134344,200.0
1720327789.3466551,134920,248.0
1720327789.7083275,135008,198.0
1720327790.2446346,135136,200.0
1720327792.6140893,135712,249.0
1720327793.9535155,136048,247.0
1720327794.7631533,136248,249.0
1720327795.8394036,136512,199.0
1720327796.216569,136592,198.0
1720327796.7758694,136712,125.0
1720327796.820341,136720,297.0
1720327798.5829039,137112,247.0
1720327800.2856135,137504,296.0
1720328470.1511624,137752,129.0
1720328470.5728948,137848,200.0
1720328470.6506066,137864,227.0
1720328473.0351865,138416,228.0
1720328473.2708905,138472,245.0
1720328474.3511424,138720,251.0
1720328477.2321563,139440,199.0
1720328477.307343,139456,199.0
1720328477.4859328,139496,298.0
1720328478.7391276,139768,252.0
1720328479.1925442,139872,296.0
1720328481.0396655,140304,198.0
1720328481.1524818,140328,232.0
1720328481.4357471,140392,247.0
1720329151.1687822,141088,206.0
1720329152.732905,141448,249.0
1720329152.8237538,141464,246.0
1720329154.6080403,141880,197.0
1720329154.8345912,141936,201.0
1720329155.0630772,141992,200.0
1720329155.8093064,142168,135.0
1720329155.849808,142176,301.0
1720329159.342214,143032,198.0
1720329159.4430323,143056,199.0
1720329162.304194,143760,199.0
1720329162.6930268,143856,299.0
1720329162.8922124,143904,253.0
1720329162.9979906,143928,249.0
1720329832.1580968,144176,250.0
1720329835.7013867,145032,247.0
1720329836.0912983,145120,261.0
1720329837.139131,145360,200.0
1720329837.9266706,145536,201.0
1720329838.2664335,145608,253.0
1720329839.0052738,145776,200.0
1720329841.1675436,146272,302.0
1720329843.2876608,146736,202.0
1720329844.6133337,147024,249.0
1720330512.16517,147312,222.0
1720330512.5453858,147400,203.0
1720330512.5881226,147408,256.0
1720330513.3604484,147592,248.0
1720330513.8762603,147712,201.0
1720330516.8248746,148376,205.0
1720330518.111891,148680,207.0
1720330519.4013739,148984,209.0
1720330519.6459615,149040,205.0
1720330519.6894143,149048,205.0
1720330520.485322,149224,204.0
1720330523.712281,150008,204.0
1720330524.1126683,150104,275.0
1720330524.8107486,150272,199.0
1720330525.124953,150344,329.0
1720331193.8130815,150608,203.0
1720331194.8719692,150856,204.0
1720331195.641218,151048,251.0
1720331195.9972153,151136,129.0
1720331197.8982608,151600,199.0
1720331199.1675196,151920,197.0
1720331199.845329,152080,226.0
1720331200.0153537,152120,158.0
1720331200.4253728,152216,201.0
1720331204.0292692,153072,200.0
1720331204.071767,153080,254.0
1720331204.6906404,153224,203.0
1720331871.9027605,153736,207.0
1720331871.9785535,153752,327.0
1720331872.6565814,153912,249.0
1720331874.1935306,154272,257.0
1720331875.2582822,154528,301.0
1720331876.157358,154744,209.0
1720331877.7449567,155128,238.0
1720331879.618959,155568,229.0
1720331880.5644913,155784,254.0
1720331881.9612875,156104,229.0
1720331882.198288,156160,204.0
1720331883.1849396,156392,206.0
1720331883.6309392,156496,222.0
1720331884.4492533,156688,140.0
1720332551.2329173,156832,131.0
1720332552.3113177,157080,396.0
